keys,en,ja,ko,zh_Hans,zh_Hant,de,fr,es,pt_BR,it,ar,ru
ADS_RESCUE_RESPAWN,Respawn,リスポーン,리스폰,重生,重生,Neu erscheinen,Réapparaître,Reaparecer,Renascer,Ricomparire,إعادة الظهور,Возродиться
ADS_SPAWN_TITLE,Set spawn now?,今すぐリスポーン地点を設定しますか？,지금 부활 지점을 설정할까요?,立即设置重生点？,立即設定重生點？,Spawnpunkt jetzt setzen?,Définir le point maintenant ?,¿Establecer la reaparición ahora?,Definir renascimento agora?,Impostare ora il punto di rinascita?,تعيين نقطة العودة الآن؟,Задать точку сейчас?
ADS_SPAWN_BODY,"Watch a short ad to skip the %s cooldown and set this as your spawn point.","短い広告を見て、%sの待ち時間をスキップし、ここをリスポーン地点に設定します。","짧은 광고를 보고 %s 대기 시간을 건너뛰어 이곳을 부활 지점으로 설정하세요.","观看短广告，跳过%s冷却并将这里设为重生点。","觀看短廣告，跳過%s冷卻並將這裡設為重生點。","Sieh eine kurze Werbung, überspringe die Wartezeit von %s und setze diesen Spawnpunkt.","Regardez une courte publicité pour ignorer le délai de %s et définir ce point.","Mira un anuncio corto para omitir la espera de %s y establecer este punto.","Assista a um anúncio curto para ignorar a espera de %s e definir este ponto.","Guarda un breve annuncio per saltare l’attesa di %s e impostare questo punto.","شاهد إعلانًا قصيرًا لتجاوز وقت الانتظار %s وتعيين هذه النقطة.","Посмотрите короткую рекламу, чтобы пропустить ожидание %s и задать эту точку."
ADS_SPAWN_WATCH,Watch & set,広告を見て設定,광고 보고 설정,观看并设置,觀看並設定,Ansehen & setzen,Regarder et définir,Ver y establecer,Assistir e definir,Guarda e imposta,شاهد وعيّن,Смотреть и задать
ADS_SPAWN_WAIT,Wait,待つ,기다리기,等待,等待,Warten,Attendre,Esperar,Esperar,Attendi,انتظار,Подождать
ADS_SPAWN_UNAVAILABLE,Ad is not ready yet.,広告はまだ準備できていません。,광고가 아직 준비되지 않았어요.,广告尚未准备好。,廣告尚未準備好.,Die Werbung ist noch nicht bereit.,La publicité n’est pas encore prête.,El anuncio aún no está listo.,O anúncio ainda não está pronto.,L’annuncio non è ancora pronto.,الإعلان غير جاهز بعد.,Реклама ещё не готова.
ADS_SPAWN_NOT_EARNED,Watch the full ad to set the spawn point.,リスポーン地点を設定するには広告を最後まで見てください。,부활 지점을 설정하려면 광고를 끝까지 시청하세요.,请完整观看广告以设置重生点。,請完整觀看廣告以設定重生點.,Sieh die Werbung vollständig an, um den Spawnpunkt zu setzen.,Regardez la publicité en entier pour définir le point.,Mira el anuncio completo para establecer la reaparición.,Assista ao anúncio completo para definir o renascimento.,Guarda l’annuncio completo per impostare il punto.,شاهد الإعلان كاملًا لتعيين نقطة العودة.,Посмотрите рекламу полностью, чтобы задать точку.
WORLD_SELECT_TITLE,Your worlds,あなたのワールド,내 월드,你的世界,你的世界,Deine Welten,Vos mondes,Tus mundos,Seus mundos,I tuoi mondi,عوالمك,Ваши миры
WORLD_CONTINUE,Continue,続ける,계속하기,继续,繼續,Fortsetzen,Continuer,Continuar,Continuar,Continua,متابعة,Продолжить
WORLD_NEW,New world,新しいワールド,새 월드,新世界,新世界,Neue Welt,Nouveau monde,Nuevo mundo,Novo mundo,Nuovo mondo,عالم جديد,Новый мир
WORLD_SELECT_MODE,Choose world type,ワールドタイプを選択,월드 유형 선택,选择世界类型,選擇世界類型,Welttyp auswählen,Choisir le type de monde,Elige el tipo de mundo,Escolha o tipo de mundo,Scegli il tipo di mondo,اختر نوع العالم,Выберите тип мира
WORLD_NEW_SKYBLOCK,New Skyblock World,新しいスカイブロックワールド,새 스카이블록 월드,新建空岛世界,新增空島世界,Neue Skyblock-Welt,Nouveau monde Skyblock,Nuevo mundo Skyblock,Novo mundo Skyblock,Nuovo mondo Skyblock,عالم سكاي بلوك جديد,Новый мир Skyblock
WORLD_NEW_FLOATING_ISLANDS,New Floating Islands World,新しい浮遊島ワールド,새 플로팅 아일랜드 월드,新建浮空岛世界,新增浮空島世界,Neue schwebende Inselwelt,Nouveau monde d’îles flottantes,Nuevo mundo de islas flotantes,Novo mundo de ilhas flutuantes,Nuovo mondo di isole fluttuanti,عالم جزر عائمة جديد,Новый мир парящих островов
WORLD_NEW_RANDOM,New random world,新しいランダムワールド,새 무작위 월드,新建随机世界,新增隨機世界,Neue Zufallswelt,Nouveau monde aléatoire,Nuevo mundo aleatorio,Novo mundo aleatório,Nuovo mondo casuale,عالم عشوائي جديد,Новый случайный мир
WORLD_NEW_ONE_BLOCK,New One Block World,新しいワンブロックワールド,새 원블록 월드,新建单方块世界,新增單方塊世界,Neue One-Block-Welt,Nouveau monde One Block,Nuevo mundo One Block,Novo mundo One Block,Nuovo mondo One Block,عالم بلوك واحد جديد,Новый мир One Block
WORLD_CREATE,Create world,ワールドを作成,월드 만들기,创建世界,建立世界,Welt erstellen,Créer le monde,Crear mundo,Criar mundo,Crea mondo,إنشاء عالم,Создать мир
WORLD_DEFAULT_NAME,My world,マイワールド,내 월드,我的世界,我的世界,Meine Welt,Mon monde,Mi mundo,Meu mundo,Il mio mondo,عالمي,Мой мир
WORLD_EMPTY,No saved worlds yet,保存されたワールドはありません,저장된 월드가 없습니다,暂无已保存的世界,尚無已儲存的世界,Noch keine Welten gespeichert,Aucun monde sauvegardé,Todavía no hay mundos guardados,Ainda não há mundos salvos,Nessun mondo salvato,لا توجد عوالم محفوظة بعد,Сохранённых миров пока нет
WORLD_SAVED,Saved worlds,保存されたワールド,저장된 월드,已保存的世界,已儲存的世界,Gespeicherte Welten,Mondes sauvegardés,Mundos guardados,Mundos salvos,Mondi salvati,العوالم المحفوظة,Сохранённые миры
WORLD_MODE_SKYBLOCK,Skyblock,スカイブロック,스카이블록,空岛,空島,Skyblock,Skyblock,Skyblock,Skyblock,Skyblock,سكاي بلوك,Skyblock
WORLD_MODE_FLOATING_ISLANDS,Floating Islands,浮遊島,플로팅 아일랜드,浮空岛,浮空島,Schwebende Inseln,Îles flottantes,Islas flotantes,Ilhas flutuantes,Isole fluttuanti,جزر عائمة,Парящие острова
WORLD_MODE_RANDOM,Random world,ランダムワールド,무작위 월드,随机世界,隨機世界,Zufallswelt,Monde aléatoire,Mundo aleatorio,Mundo aleatório,Mondo casuale,عالم عشوائي,Случайный мир
WORLD_MODE_ONE_BLOCK,One Block,One Block,One Block,单方块,單方塊,One Block,One Block,One Block,One Block,One Block,بلوك واحد,One Block
ONE_BLOCK_PHASE,One Block • Phase %d/%d,One Block・フェーズ %d/%d,One Block • 단계 %d/%d,单方块 • 阶段 %d/%d,單方塊 • 階段 %d/%d,One Block • Phase %d/%d,One Block • Phase %d/%d,One Block • Fase %d/%d,One Block • Fase %d/%d,One Block • Fase %d/%d,بلوك واحد • المرحلة %d/%d,One Block • Фаза %d/%d
ONE_BLOCK_AFTERPHASE,One Block • Afterphase,One Block・アフターフェーズ,One Block • 애프터페이즈,单方块 • 无限阶段,單方塊 • 無限階段,One Block • Endlosphase,One Block • Phase infinie,One Block • Fase infinita,One Block • Fase infinita,One Block • Fase infinita,بلوك واحد • المرحلة اللانهائية,One Block • Бесконечная фаза
WORLD_LAST_PLAYED,Last played: %s,最終プレイ：%s,마지막 플레이: %s,上次游玩：%s,上次遊玩：%s,Zuletzt gespielt: %s,Dernière partie : %s,Última partida: %s,Última partida: %s,Ultima partita: %s,آخر لعب: %s,Последняя игра: %s
WORLD_NEW_CONFIRM_TITLE,Create a new world?,新しいワールドを作成しますか？,새 월드를 만들까요?,要创建新世界吗？,要建立新世界嗎？,Neue Welt erstellen?,Créer un nouveau monde ?,¿Crear un mundo nuevo?,Criar um novo mundo?,Creare un nuovo mondo?,هل تريد إنشاء عالم جديد؟,Создать новый мир?
WORLD_NEW_CONFIRM_BODY,Your current world will remain saved.,現在のワールドは保存されたままです。,현재 월드는 저장된 상태로 유지됩니다.,当前世界将继续保留。,目前的世界會繼續保留。,Deine aktuelle Welt bleibt gespeichert.,Votre monde actuel restera sauvegardé.,Tu mundo actual seguirá guardado.,Seu mundo atual continuará salvo.,Il mondo attuale resterà salvato.,سيظل عالمك الحالي محفوظًا.,Текущий мир останется сохранённым.
WORLD_DELETE_CONFIRM_TITLE,Delete this world?,このワールドを削除しますか？,이 월드를 삭제할까요?,要删除这个世界吗？,要刪除這個世界嗎？,Diese Welt löschen?,Supprimer ce monde ?,¿Eliminar este mundo?,Excluir este mundo?,Eliminare questo mondo?,هل تريد حذف هذا العالم؟,Удалить этот мир?
WORLD_DELETE_CONFIRM_BODY,This cannot be undone.,この操作は取り消せません。,이 작업은 취소할 수 없습니다.,此操作无法撤销。,此操作無法復原.,Dies kann nicht rückgängig gemacht werden.,Cette action est irréversible.,Esta acción no se puede deshacer.,Esta ação não pode ser desfeita.,Questa azione non può essere annullata.,لا يمكن التراجع عن هذا الإجراء.,Это действие нельзя отменить.
WORLD_DELETE_FAILED,Could not delete this world.,このワールドを削除できませんでした。,이 월드를 삭제하지 못했습니다.,无法删除此世界。,無法刪除此世界.,Diese Welt konnte nicht gelöscht werden.,Impossible de supprimer ce monde.,No se pudo eliminar este mundo.,Não foi possível excluir este mundo.,Impossibile eliminare questo mondo.,تعذر حذف هذا العالم.,Не удалось удалить этот мир.
UI_INVENTORY,Inventory,インベントリ,인벤토리,物品栏,物品欄,Inventar,Inventaire,Inventario,Inventário,Inventario,المخزون,Инвентарь
UI_CRAFT,Craft,クラフト,제작,合成,合成,Herstellen,Fabriquer,Fabricar,Criar,Crea,صناعة,Создание
UI_CHEST,Chest,チェスト,상자,箱子,箱子,Truhe,Coffre,Cofre,Baú,Baule,صندوق,Сундук
UI_CHEST_TRANSFER_HINT,Chest · Tap: 1 · Hold: stack,チェスト・タップ: 1個・長押し: スタック,상자 · 탭: 1개 · 길게: 묶음,箱子 · 点击: 1个 · 长按: 整组,箱子 · 點擊: 1個 · 長按: 整組,Truhe · Tippen: 1 · Halten: Stapel,Coffre · Toucher : 1 · Maintenir : pile,Cofre · Toque: 1 · Mantener: pila,Baú · Toque: 1 · Segure: pilha,Baule · Tocca: 1 · Tieni: pila,الصندوق · اضغط: 1 · استمر: المجموعة,Сундук · Нажать: 1 · Удерживать: стак
UI_RESULT,Result,結果,결과,结果,結果,Ergebnis,Résultat,Resultado,Resultado,Risultato,النتيجة,Результат
UI_RECIPES,Recipes,レシピ,제작법,配方,配方,Rezepte,Recettes,Recetas,Receitas,Ricette,الوصفات,Рецепты
UI_MAIN_MENU,Main menu,メインメニュー,메인 메뉴,主菜单,主選單,Hauptmenü,Menu principal,Menú principal,Menu principal,Menu principale,القائمة الرئيسية,Главное меню
UI_MUSIC_VOLUME,Music,音楽,음악,音乐,音樂,Musik,Musique,Música,Música,Musica,الموسيقى,Музыка
UI_EMPTY_INVENTORY,Your inventory is empty,インベントリは空です,인벤토리가 비어 있습니다,物品栏为空,物品欄是空的,Dein Inventar ist leer,Votre inventaire est vide,Tu inventario está vacío,Seu inventário está vazio,Il tuo inventario è vuoto,مخزونك فارغ,Инвентарь пуст
UI_EQUIP,Equip,装備,장착,装备,裝備,Ausrüsten,Équiper,Equipar,Equipar,Equipaggia,تجهيز,Выбрать
UI_UNEQUIP,Unequip,外す,장착 해제,卸下,卸下,Ablegen,Retirer,Desequipar,Desequipar,Rimuovi,نزع,Снять
UI_EQUIPMENT,Equipment,装備,장비,装备,裝備,Ausrüstung,Équipement,Equipo,Equipamento,Equipaggiamento,المعدات,Снаряжение
UI_HAND,Hand,手,손,手部,手部,Hand,Main,Mano,Mão,Mano,اليد,Рука
UI_FEET,Feet,足,발,脚部,腳部,Füße,Pieds,Pies,Pés,Piedi,القدمان,Ноги
UI_EMPTY_SLOT,Empty,空,비어 있음,空,空,Leer,Vide,Vacío,Vazio,Vuoto,فارغ,Пусто
UI_SELECTED,Selected,選択中,선택됨,已选择,已選取,Ausgewählt,Sélectionné,Seleccionado,Selecionado,Selezionato,محدد,Выбрано
ENTITY_DETAILS_TITLE,Entity details,エンティティの詳細,개체 정보,实体详情,實體詳情,Objektdetails,Détails de l'entité,Detalles de la entidad,Detalhes da entidade,Dettagli entità,تفاصيل العنصر,Описание сущности
ENTITY_KIND_BLOCK,Block,ブロック,블록,方块,方塊,Block,Bloc,Bloque,Bloco,Blocco,كتلة,Блок
ENTITY_KIND_PLANT,Plant,植物,식물,植物,植物,Pflanze,Plante,Planta,Planta,Pianta,نبات,Растение
ENTITY_KIND_CREATURE,Creature,生き物,생물,生物,生物,Kreatur,Créature,Criatura,Criatura,Creatura,مخلوق,Существо
ENTITY_KIND_ITEM,Item,アイテム,아이템,物品,物品,Gegenstand,Objet,Objeto,Item,Oggetto,عنصر,Предмет
ENTITY_DESCRIPTION_BLOCK,A material that can be placed and combined with other discoveries.,配置したり他の発見物と組み合わせたりできる素材です。,배치하거나 다른 발견물과 조합할 수 있는 재료입니다.,一种可以放置并与其他发现物组合的材料。,一種可以放置並與其他發現物組合的材料。,Ein Material zum Platzieren und Kombinieren mit anderen Entdeckungen.,Un matériau à placer et à combiner avec d'autres découvertes.,Un material que puedes colocar y combinar con otros descubrimientos.,Um material que pode ser colocado e combinado com outras descobertas.,Un materiale che può essere piazzato e combinato con altre scoperte.,مادة يمكن وضعها ودمجها مع اكتشافات أخرى.,"Материал, который можно размещать и смешивать с другими открытиями."
ENTITY_DESCRIPTION_PLANT,A living discovery that grows when its habitat requirements are met.,生育環境が整うと成長する生きた発見物です。,서식 조건이 맞으면 자라는 살아 있는 발견물입니다.,一种在满足生境条件时会生长的生命发现物。,一種在滿足棲地條件時會生長的生命發現物.,"Eine lebende Entdeckung, die bei passenden Lebensbedingungen wächst.",Une découverte vivante qui pousse lorsque son habitat lui convient.,Un descubrimiento vivo que crece cuando se cumplen sus condiciones de hábitat.,Uma descoberta viva que cresce quando as condições do habitat são atendidas.,Una scoperta vivente che cresce quando l'habitat è adatto.,اكتشاف حي ينمو عند توافر ظروف موطنه.,"Живое открытие, которое растёт в подходящей среде."
ENTITY_DESCRIPTION_CREATURE,A native creature with its own movement and behavior.,独自の動きと行動を持つ生き物です。,고유한 움직임과 행동을 가진 생물입니다.,一种拥有独特移动方式和行为的生物。,一種擁有獨特移動方式和行為的生物。,Eine Kreatur mit eigener Bewegung und eigenem Verhalten.,Une créature avec ses propres déplacements et comportements.,Una criatura con movimiento y comportamiento propios.,Uma criatura com movimento e comportamento próprios.,Una creatura con movimenti e comportamento propri.,مخلوق له أسلوب حركة وسلوك خاصان به.,Существо со своим способом передвижения и поведением.
ENTITY_DESCRIPTION_ITEM,A hotbar item whose effects work while it is selected.,選択中に効果を発揮するホットバーアイテムです。,선택되어 있을 때 효과가 적용되는 핫바 아이템입니다.,一种在快捷栏中选中时生效的物品。,一種在快捷欄中選取時生效的物品.,"Ein Hotbar-Gegenstand, dessen Effekte aktiv sind, solange er ausgewählt ist.",Un objet de barre rapide dont les effets s'appliquent lorsqu'il est sélectionné.,Un objeto de la barra rápida cuyos efectos funcionan mientras está seleccionado.,Um item da barra rápida cujos efeitos funcionam enquanto está selecionado.,Un oggetto della barra rapida i cui effetti funzionano quando è selezionato.,عنصر في الشريط السريع تعمل تأثيراته عند تحديده.,"Предмет хотбара, эффекты которого действуют, пока он выбран."
ENTITY_CHEST,Chest,チェスト,상자,箱子,箱子,Truhe,Coffre,Cofre,Baú,Baule,صندوق,Сундук
ENTITY_DESCRIPTION_CHEST,A wooden container that stores up to twelve kinds of items.,最大12種類のアイテムを保管できる木製の容器です。,최대 열두 종류의 아이템을 보관하는 나무 상자입니다.,可存放最多十二种物品的木制容器。,可存放最多十二種物品的木製容器。,"Ein Holzbehälter für bis zu zwölf verschiedene Gegenstände.",Un coffre en bois pouvant stocker douze types d’objets.,Un contenedor de madera que guarda hasta doce tipos de objetos.,Um recipiente de madeira que armazena até doze tipos de itens.,Un contenitore di legno che conserva fino a dodici tipi di oggetti.,حاوية خشبية تخزن ما يصل إلى اثني عشر نوعا من العناصر.,Деревянный контейнер для хранения двенадцати видов предметов.
ENTITY_POTTED_FERN,Potted Fern,鉢植えのシダ,화분 고사리,盆栽蕨,盆栽蕨,Topffarn,Fougère en pot,Helecho en maceta,Samambaia em vaso,Felce in vaso,سرخس في أصيص,Папоротник в горшке
ENTITY_DESCRIPTION_POTTED_FERN,A hardy fern kept in a warm clay pot for decorating shelters and ruins.,シェルターや遺跡を飾る素焼き鉢の丈夫なシダです。,쉐터와 폐허를 꾸미는 따뜻한 토분의 튼튼한 고사리입니다.,种在温暖陶盆中、用来装饰庇护所和遗迹的坚韧蕨类。,種在溫暖陶盆中、用來裝飾庇護所和遺跡的堅韌蕨類。,Ein robuster Farn in einem warmen Tontopf zur Dekoration von Unterständen und Ruinen.,Une fougère robuste dans un pot en terre cuite pour décorer abris et ruines.,Un helecho resistente en una cálida maceta de barro para decorar refugios y ruinas.,Uma samambaia resistente em um vaso de barro para decorar abrigos e ruínas.,Una felce resistente in un caldo vaso di terracotta per decorare rifugi e rovine.,سرخس قوي في أصيص فخاري لتزيين الملاجئ والأطلال.,Выносливый папоротник в тёплом глиняном горшке для украшения укрытий и руин.
DISCOVERY_PROPERTY_HEALTH,Health,体力,체력,生命值,生命值,Leben,Santé,Salud,Vida,Salute,الصحة,Здоровье
DISCOVERY_PROPERTY_CREATURE_SPEED,Movement speed,移動速度,이동 속도,移动速度,移動速度,Bewegungstempo,Vitesse de déplacement,Velocidad de movimiento,Velocidade de movimento,Velocità di movimento,سرعة الحركة,Скорость движения
DISCOVERY_PROPERTY_GROWTH_STAGES,Growth stages,成長段階,성장 단계,生长阶段,生長階段,Wachstumsstufen,Étapes de croissance,Etapas de crecimiento,Estágios de crescimento,Fasi di crescita,مراحل النمو,Стадии роста
DISCOVERY_PROPERTY_MAX_LENGTH,Maximum size,最大サイズ,최대 크기,最大尺寸,最大尺寸,Maximale Größe,Taille maximale,Tamaño máximo,Tamanho máximo,Dimensione massima,الحجم الأقصى,Максимальный размер
DISCOVERY_PROPERTY_HARVEST,Harvest yield,収穫量,수확량,收获数量,收穫數量,Ernteertrag,Rendement,Cosecha,Rendimento,Raccolto,كمية الحصاد,Урожай
DISCOVERY_PROPERTY_LIGHT_PREFERENCE,Preferred light,好みの明るさ,선호 밝기,偏好光照,偏好光照,Bevorzugtes Licht,Lumière préférée,Luz preferida,Luz preferida,Luce preferita,الإضاءة المفضلة,Предпочитаемый свет
CREATURE_LIGHT_DARK,Dark places,暗い場所,어두운 곳,黑暗处,黑暗處,Dunkle Orte,Endroits sombres,Lugares oscuros,Lugares escuros,Luoghi bui,الأماكن المظلمة,Тёмные места
CREATURE_LIGHT_BRIGHT,Bright places,明るい場所,밝은 곳,明亮处,明亮處,Helle Orte,Endroits lumineux,Lugares luminosos,Lugares claros,Luoghi luminosi,الأماكن المضيئة,Светлые места
CREATURE_LIGHT_NEUTRAL,No preference,こだわらない,상관없음,无偏好,無偏好,Keine Präferenz,Aucune préférence,Sin preferencia,Sem preferência,Nessuna preferenza,بلا تفضيل,Без предпочтений
ENTITY_CAVE_SKITTER,Cave Skitter,洞窟スキッター,동굴 스키터,洞穴爬虫,洞穴爬蟲,Höhlenkrabbler,Trottineur des cavernes,Rastreador cavernario,Rastejante da caverna,Zampettatore delle caverne,زاحف الكهف,Пещерный шорох
ENTITY_DESCRIPTION_CAVE_SKITTER,A black cave crawler with glowing red eyes. It avoids bright areas and defends itself when attacked.,赤く光る目を持つ黒い洞窟の這い虫。明るい場所を避け、攻撃されると身を守ります。,붉게 빛나는 눈을 가진 검은 동굴 생물입니다. 밝은 곳을 피하고 공격받으면 자신을 방어합니다.,一种长着发光红眼的黑色洞穴爬虫。它避开明亮区域并在受攻击时自卫。,一種長著發光紅眼的黑色洞穴爬蟲。牠避開明亮區域並在受攻擊時自衛。,Ein schwarzer Höhlenkrabbler mit leuchtend roten Augen. Er meidet helle Bereiche und verteidigt sich bei Angriffen.,Une créature noire aux yeux rouges lumineux. Elle évite la lumière et se défend lorsqu'elle est attaquée.,Un reptador negro de cueva con ojos rojos brillantes. Evita las zonas luminosas y se defiende al ser atacado.,Um rastejante negro de caverna com olhos vermelhos brilhantes. Evita áreas claras e se defende quando atacado.,Un essere nero delle caverne con occhi rossi luminosi. Evita le zone luminose e si difende quando viene attaccato.,زاحف كهفي أسود بعيون حمراء متوهجة. يتجنب المناطق المضيئة ويدافع عن نفسه عند مهاجمته.,Чёрное пещерное существо с красными светящимися глазами. Избегает света и защищается при нападении.
INVENTORY_DESTROY,Destroy,破棄,파괴,销毁,銷毀,Zerstören,Détruire,Destruir,Destruir,Distruggi,إتلاف,Уничтожить
INVENTORY_CLEAR_ALL,Clear all,すべて破棄,모두 비우기,全部清空,全部清空,Alles leeren,Tout vider,Vaciar todo,Esvaziar tudo,Svuota tutto,مسح الكل,Очистить всё
INVENTORY_DESTROY_CONFIRM_TITLE,Destroy this stack?,このスタックを破棄しますか？,이 묶음을 파괴할까요?,销毁这一组物品？,銷毀這組物品？,Diesen Stapel zerstören ?,Détruire cette pile ?,¿Destruir esta pila?,Destruir esta pilha?,Distruggere questa pila?,هل تريد إتلاف هذه المجموعة؟,Уничтожить эту стопку?
INVENTORY_DESTROY_CONFIRM_BODY,"Destroy %d× %s? This cannot be undone.","%d× %sを破棄しますか？この操作は取り消せません。","%d× %s을(를) 파괴할까요? 이 작업은 취소할 수 없습니다.","销毁 %d× %s？此操作无法撤销。","銷毀 %d× %s？此操作無法復原。","%d× %s zerstören? Dies kann nicht rückgängig gemacht werden.","Détruire %d× %s ? Cette action est irréversible.","¿Destruir %d× %s? Esta acción no se puede deshacer.","Destruir %d× %s? Esta ação não pode ser desfeita.","Distruggere %d× %s? L'azione non può essere annullata.","هل تريد إتلاف %d× %s؟ لا يمكن التراجع عن هذا الإجراء.","Уничтожить %d× %s? Это действие нельзя отменить."
INVENTORY_CLEAR_CONFIRM_TITLE,Clear the entire inventory?,インベントリをすべて空にしますか？,인벤토리를 모두 비울까요?,清空整个物品栏？,清空整個物品欄？,Das gesamte Inventar leeren ?,Vider tout l'inventaire ?,¿Vaciar todo el inventario?,Esvaziar todo o inventário?,Svuotare tutto l'inventario?,هل تريد مسح المخزون بالكامل؟,Очистить весь инвентарь?
INVENTORY_CLEAR_CONFIRM_BODY,All inventory stacks will be destroyed. Items on the crafting table will remain.,インベントリ内のすべてのスタックが破棄されます。クラフト台のアイテムは残ります。,인벤토리의 모든 묶음이 파괴됩니다. 제작대의 아이템은 유지됩니다.,物品栏中的所有物品组都会被销毁。合成台上的物品将保留。,物品欄中的所有物品組都會被銷毀。合成台上的物品將保留。,Alle Inventarstapel werden zerstört. Gegenstände auf dem Werktisch bleiben erhalten.,Toutes les piles de l'inventaire seront détruites. Les objets sur la table de fabrication resteront.,Se destruirán todas las pilas del inventario. Los objetos de la mesa de fabricación permanecerán.,Todas as pilhas do inventário serão destruídas. Os itens na mesa de criação permanecerão.,Tutte le pile dell'inventario verranno distrutte. Gli oggetti sul tavolo da lavoro resteranno.,سيتم إتلاف كل مجموعات المخزون. ستبقى العناصر الموجودة على طاولة التصنيع.,Все стопки в инвентаре будут уничтожены. Предметы на крафт-столе останутся.
HUD_COORDS,"x: %d, y: %d","x: %d, y: %d","x: %d, y: %d","x: %d, y: %d","x: %d, y: %d","x: %d, y: %d","x : %d, y : %d","x: %d, y: %d","x: %d, y: %d","x: %d, y: %d","x: %d، y: %d","x: %d, y: %d"
ENTITY_UNKNOWN,Unknown,不明,알 수 없음,未知,未知,Unbekannt,Inconnu,Desconocido,Desconhecido,Sconosciuto,غير معروف,Неизвестно
ENTITY_AIR,Air,空気,공기,空气,空氣,Luft,Air,Aire,Ar,Aria,هواء,Воздух
ENTITY_GRASS,Grass,草,잔디,草方块,草方塊,Gras,Herbe,Césped,Grama,Erba,عشب,Трава
ENTITY_DIRT,Dirt,土,흙,泥土,泥土,Erde,Terre,Tierra,Terra,Terra,تراب,Земля
ENTITY_STONE,Stone,石,돌,石头,石頭,Stein,Pierre,Piedra,Pedra,Pietra,حجر,Камень
ENTITY_WOOD,Wood,木材,나무,木材,木材,Holz,Bois,Madera,Madeira,Legno,خشب,Дерево
ENTITY_WATER,Water,水,물,水,水,Wasser,Eau,Agua,Água,Acqua,ماء,Вода
ENTITY_LAVA,Lava,溶岩,용암,熔岩,熔岩,Lava,Lave,Lava,Lava,Lava,حمم,Лава
ENTITY_COBBLESTONE,Cobblestone,丸石,조약돌,圆石,鵝卵石,Bruchstein,Pierres,Guijarro,Pedregulho,Pietrisco,حصى,Булыжник
ENTITY_OBSIDIAN,Obsidian,黒曜石,흑요석,黑曜石,黑曜石,Obsidian,Obsidienne,Obsidiana,Obsidiana,Ossidiana,سبج,Обсидиан
ENTITY_LEAVES,Leaves,葉,나뭇잎,树叶,樹葉,Blätter,Feuilles,Hojas,Folhas,Foglie,أوراق,Листья
ENTITY_GRAVEL,Gravel,砂利,자갈,砾石,礫石,Kies,Gravier,Grava,Cascalho,Ghiaia,حصى,Гравий
ENTITY_SAND,Sand,砂,모래,沙子,沙子,Sand,Sable,Arena,Areia,Sabbia,رمل,Песок
ENTITY_PLANKS,Planks,木の板,나무 판자,木板,木板,Holzbretter,Planches,Tablones,Tábuas,Assi,ألواح خشبية,Доски
